Abbreviation,Description,Reaction,GPR,Lower bound,Upper bound,Objective,Subsystem
EX_hdca_e,Hexadecanoate (n-C16:0) exchange,hdca_e  -> ,,0,999999,0,Extracellular exchange
EX_hdcea_e,Hexadecenoate (n-C16:1) exchange,hdcea_e  -> ,,0,999999,0,Extracellular exchange
EX_asn__L_e,L-Asparagine exchange,asn__L_e  -> ,,0,999999,0,Extracellular exchange
EX_asp__L_e,L-Aspartate exchange,asp__L_e  -> ,,0,999999,0,Extracellular exchange
EX_btd_RR_e, R R  2 3 Butanediol exchange,btd_RR_e  -> ,,0,999999,0,Extracellular exchange
EX_btn_e,Biotin exchange,btn_e  -> ,,0,999999,0,Extracellular exchange
EX_hexc_e,Hexacosanoate  n C260  exchange,hexc_e  -> ,,0,999999,0,Extracellular exchange
AASAD2,L aminoadipate semialdehyde dehydrogenase  NADH ,L2aadp_c + atp_c + h_c + nadh_c  -> L2aadp6sa_c + amp_c + nad_c + ppi_c ,YBR115C and YGL154C,0,999999,0,S_Threonine_and_Lysine_Metabolism
EX_his__L_e,L-Histidine exchange,his__L_e  -> ,,0,999999,0,Extracellular exchange
EX_hxan_e,Hypoxanthine exchange,hxan_e  -> ,,0,999999,0,Extracellular exchange
EX_iamac_e,Isoamyl acetate exchange,iamac_e  -> ,,0,999999,0,Extracellular exchange
EX_iamoh_e,Isoamyl alcohol exchange,iamoh_e  -> ,,0,999999,0,Extracellular exchange
EX_ibutac_e,Isobutyl acetate exchange,ibutac_e  -> ,,0,999999,0,Extracellular exchange
EX_chol_e,Choline exchange,chol_e  -> ,,0,999999,0,Extracellular exchange
EX_cit_e,Citrate exchange,cit_e  -> ,,0,999999,0,Extracellular exchange
EX_co2_e,CO2 exchange,co2_e  -> ,,0,999999,0,Extracellular exchange
EX_crn_e,L-Carnitine exchange,crn_e  -> ,,0,999999,0,Extracellular exchange
EX_csn_e,Cytosine exchange,csn_e  -> ,,0,999999,0,Extracellular exchange
EX_cys__L_e,L-Cysteine exchange,cys__L_e  -> ,,0,999999,0,Extracellular exchange
EX_cytd_e,Cytidine exchange,cytd_e  -> ,,0,999999,0,Extracellular exchange
EX_dad_2_e,Deoxyadenosine exchange,dad_2_e  -> ,,0,999999,0,Extracellular exchange
EX_dann_e,7 8 Diaminononanoate exchange,dann_e  -> ,,0,999999,0,Extracellular exchange
EX_ibutoh_e,Isobutyl alcohol exchange,ibutoh_e  -> ,,0,999999,0,Extracellular exchange
EX_id3acald_e,Indole 3 acetaldehyde exchange,id3acald_e  -> ,,0,999999,0,Extracellular exchange
EX_ile__L_e,L-Isoleucine exchange,ile__L_e  -> ,,0,999999,0,Extracellular exchange
EX_ind3eth_e,Indole 3 ethanol exchange,ind3eth_e  -> ,,0,999999,0,Extracellular exchange
EX_inost_e,Myo-Inositol exchange,inost_e  -> ,,0,999999,0,Extracellular exchange
EX_dca_e,Decanoate (n-C10:0) exchange,dca_e  -> ,,0,999999,0,Extracellular exchange
EX_dcyt_e,Deoxycytidine exchange,dcyt_e  -> ,,0,999999,0,Extracellular exchange
EX_ddca_e,Dodecanoate (n-C12:0) exchange,ddca_e  -> ,,0,999999,0,Extracellular exchange
EX_ins_e,Inosine exchange,ins_e  -> ,,0,999999,0,Extracellular exchange
EX_k_e,K+ exchange,k_e  <=> ,,-999999,999999,0,Extracellular exchange
EX_dgsn_e,Deoxyguanosine exchange,dgsn_e  -> ,,0,999999,0,Extracellular exchange
EX_din_e,Deoxyinosine exchange,din_e  -> ,,0,999999,0,Extracellular exchange
EX_lac__D_e,D-lactate exchange,lac__D_e  -> ,,0,999999,0,Extracellular exchange
AATA,2 aminoadipate transaminase,2oxoadp_c + glu__L_c  <=> L2aadp_c + akg_c ,,-999999,999999,0,S_Threonine_and_Lysine_Metabolism
EX_lac__L_e,L-Lactate exchange,lac__L_e  -> ,,0,999999,0,Extracellular exchange
EX_lanost_e,Lanosterol exchange,lanost_e  -> ,,0,999999,0,Extracellular exchange
EX_lanostest_SC_e,Lanosterol ester  yeast specific exchange,lanostest_SC_e  -> ,,0,999999,0,Extracellular exchange
EX_dttp_e,DTTP exchange,dttp_e  -> ,,0,999999,0,Extracellular exchange
EX_duri_e,Deoxyuridine exchange,duri_e  -> ,,0,999999,0,Extracellular exchange
EX_leu__L_e,L-Leucine exchange,leu__L_e  -> ,,0,999999,0,Extracellular exchange
ABTA,4-aminobutyrate transaminase,4abut_c + akg_c  -> glu__L_c + sucsal_c ,YGR019W,0,999999,0,S_Glutamate_metabolism
EX_lys__L_e,L-Lysine exchange,lys__L_e  -> ,,0,999999,0,Extracellular exchange
EX_mal__L_e,L-Malate exchange,mal__L_e  -> ,,0,999999,0,Extracellular exchange
EX_malt_e,Maltose exchange,malt_e  -> ,,0,999999,0,Extracellular exchange
EX_ribflv_e,Riboflavin exchange,ribflv_e  -> ,,0,999999,0,Extracellular exchange
EX_sbt__D_e,D-Sorbitol exchange,sbt__D_e  -> ,,0,999999,0,Extracellular exchange
EX_man_e,D-Mannose exchange,man_e  -> ,,0,999999,0,Extracellular exchange
ABTt,L arabinitol transport via passive diffusion,abt_e  <=> abt_c ,,-999999,999999,0,S_Transport__Extracellular
EX_melib_e,Melibiose exchange,melib_e  -> ,,0,999999,0,Extracellular exchange
EX_met__L_e,L-Methionine exchange,met__L_e  -> ,,0,999999,0,Extracellular exchange
EX_mmet_e,S-Methyl-L-methionine exchange,mmet_e  -> ,,0,999999,0,Extracellular exchange
EX_na1_e,Sodium exchange,na1_e  <=> ,,-999999,999999,0,Extracellular exchange
EX_nac_e,Nicotinate exchange,nac_e  -> ,,0,999999,0,Extracellular exchange
EX_sbt__L_e,L Sorbitol exchange,sbt__L_e  -> ,,0,999999,0,Extracellular exchange
EX_ser__L_e,L-Serine exchange,ser__L_e  -> ,,0,999999,0,Extracellular exchange
EX_so3_e,Sulfite exchange,so3_e  -> ,,0,999999,0,Extracellular exchange
EX_so4_e,Sulfate exchange,so4_e  <=> ,,-999999,999999,0,Extracellular exchange
EX_spmd_e,Spermidine exchange,spmd_e  -> ,,0,999999,0,Extracellular exchange
EX_sprm_e,Spermine exchange,sprm_e  -> ,,0,999999,0,Extracellular exchange
EX_srb__L_e,L Sorbose exchange,srb__L_e  -> ,,0,999999,0,Extracellular exchange
EX_succ_e,Succinate exchange,succ_e  -> ,,0,999999,0,Extracellular exchange
EX_nadp_e,Nicotinamide adenine dinucleotide phosphate exchange,nadp_e  -> ,,0,999999,0,Extracellular exchange
EX_nh4_e,Ammonia exchange,nh4_e  <=> ,,-999999,999999,0,Extracellular exchange
EX_nmn_e,NMN exchange,nmn_e  -> ,,0,999999,0,Extracellular exchange
EX_sucr_e,Sucrose exchange,sucr_e  -> ,,0,999999,0,Extracellular exchange
EX_o2_e,O2 exchange,o2_e  <=> ,,-1000,999999,0,Extracellular exchange
EX_taur_e,Taurine exchange,taur_e  -> ,,0,999999,0,Extracellular exchange
ABUTDm,Aminobutyraldehyde dehydrogenase  mitochondrial,4abutn_m + h2o_m + nad_m  -> 4abut_m + 2 h_m + nadh_m ,YOR374W or YER073W,0,999999,0,S_Other_Amino_Acid_Metabolism
EX_thm_e,Thiamin exchange,thm_e  -> ,,0,999999,0,Extracellular exchange
EX_oaa_e,Oxaloacetate exchange,oaa_e  -> ,,0,999999,0,Extracellular exchange
EX_ocdca_e,Octadecanoate (n-C18:0) exchange,ocdca_e  -> ,,0,999999,0,Extracellular exchange
EX_ocdcea_e,Octadecenoate (n-C18:1) exchange,ocdcea_e  -> ,,0,999999,0,Extracellular exchange
ABUTt2r,4 aminobutyrate reversible transport in via proton symport,4abut_e + h_e  <=> 4abut_c + h_c ,YOR348C or YDL210W,-999999,999999,0,S_Transport__Extracellular
EX_ocdcya_e,Octadecynoate  n C182  exchange,ocdcya_e  -> ,,0,999999,0,Extracellular exchange
EX_orn_e,Ornithine exchange,orn_e  -> ,,0,999999,0,Extracellular exchange
EX_thmmp_e,Thiamin monophosphate exchange,thmmp_e  -> ,,0,999999,0,Extracellular exchange
EX_thmpp_e,Thiamine diphosphate exchange,thmpp_e  -> ,,0,999999,0,Extracellular exchange
EX_thr__L_e,L-Threonine exchange,thr__L_e  -> ,,0,999999,0,Extracellular exchange
EX_thym_e,Thymine exchange,thym_e  -> ,,0,999999,0,Extracellular exchange
EX_pacald_e,Phenylacetaldehyde exchange,pacald_e  -> ,,0,999999,0,Extracellular exchange
EX_pap_e,Adenosine 3  5  bisphosphate exchange,pap_e  -> ,,0,999999,0,Extracellular exchange
EX_thymd_e,Thymidine exchange,thymd_e  -> ,,0,999999,0,Extracellular exchange
ACACT1r,Acetyl-CoA C-acetyltransferase,2 accoa_c  -> aacoa_c + coa_c ,YPL028W,0,999999,0,S_Fatty_Acid__Biosynthesis
EX_tre_e,Trehalose exchange,tre_e  -> ,,0,999999,0,Extracellular exchange
EX_trp__L_e,L-Tryptophan exchange,trp__L_e  -> ,,0,999999,0,Extracellular exchange
EX_pc_SC_e,Phosphatidylcholine  yeast specific exchange,pc_SC_e  -> ,,0,999999,0,Extracellular exchange
EX_pectin_e,Pectin exchange,pectin_e  -> ,,0,999999,0,Extracellular exchange
EX_pepd_e,Peptide exchange,pepd_e  -> ,,0,999999,0,Extracellular exchange
EX_phe__L_e,L-Phenylalanine exchange,phe__L_e  -> ,,0,999999,0,Extracellular exchange
EX_pheac_e,Phenethyl acetate exchange,pheac_e  -> ,,0,999999,0,Extracellular exchange
EX_pi_e,Phosphate exchange,pi_e  <=> ,,-999999,999999,0,Extracellular exchange
EX_pnto__R_e,(R)-Pantothenate exchange,pnto__R_e  -> ,,0,999999,0,Extracellular exchange
EX_ttdca_e,Tetradecanoate (n-C14:0) exchange,ttdca_e  -> ,,0,999999,0,Extracellular exchange
EX_tyr__L_e,L-Tyrosine exchange,tyr__L_e  -> ,,0,999999,0,Extracellular exchange
EX_ura_e,Uracil exchange,ura_e  -> ,,0,999999,0,Extracellular exchange
EX_urea_e,Urea exchange,urea_e  -> ,,0,999999,0,Extracellular exchange
EX_uri_e,Uridine exchange,uri_e  -> ,,0,999999,0,Extracellular exchange
EX_val__L_e,L-Valine exchange,val__L_e  -> ,,0,999999,0,Extracellular exchange
EX_xan_e,Xanthine exchange,xan_e  -> ,,0,999999,0,Extracellular exchange
EX_xtsn_e,Xanthosine exchange,xtsn_e  -> ,,0,999999,0,Extracellular exchange
EX_pro__L_e,L-Proline exchange,pro__L_e  -> ,,0,999999,0,Extracellular exchange
EX_ptd1ino_SC_e,Phosphatidyl 1D myo inositol  yeast specific exchange,ptd1ino_SC_e  -> ,,0,999999,0,Extracellular exchange
EX_ptrc_e,Putrescine exchange,ptrc_e  -> ,,0,999999,0,Extracellular exchange
EX_pyr_e,Pyruvate exchange,pyr_e  -> ,,0,999999,0,Extracellular exchange
EX_xyl__D_e,D-Xylose exchange,xyl__D_e  -> ,,0,999999,0,Extracellular exchange
EX_xylt_e,Xylitol exchange,xylt_e  -> ,,0,999999,0,Extracellular exchange
EX_rib__D_e,D-Ribose exchange,rib__D_e  -> ,,0,999999,0,Extracellular exchange
ACACT1m,Acetyl CoA C acetyltransferase  mitochondrial,2 accoa_m  -> aacoa_m + coa_m ,YPL028W,0,999999,0,S_Fatty_Acid__Biosynthesis
EX_zymst_e,Zymosterol exchange,zymst_e  -> ,,0,999999,0,Extracellular exchange
EX_zymstest_SC_e,Zymosterol ester  yeast specific exchange,zymstest_SC_e  -> ,,0,999999,0,Extracellular exchange
FA100tp,Fatty acid peroxisomal transport,dca_c  -> dca_x ,,0,999999,0,S_Transport__Peroxisomal
ACACT4p,Acetyl CoA C acetyltransferase  octanoyl CoA   peroxisomal,3odcoa_x + coa_x  -> accoa_x + occoa_x ,YIL160C,0,999999,0,S_Fatty_Acid_Degradation
FA120ACPHi,Fatty-acyl-ACP hydrolase,ddcaACP_c + h2o_c  <=> ACP_c + ddca_c + h_c ,YKL182W and YPL231W,-999999,999999,0,S_Fatty_Acid__Biosynthesis
FACOAL161,Fatty acid  CoA ligase  hexadecenoate ,atp_c + coa_c + hdcea_c  <=> amp_c + hdcoa_c + ppi_c ,YOR317W or YIL009W or YMR246W,-999999,999999,0,S_Fatty_Acid__Biosynthesis
FACOAL161p,Fatty acid  CoA ligase  hexadecenoate   peroxisomal,atp_x + coa_x + hdcea_x  <=> amp_x + hdcoa_x + ppi_x ,YER015W,-999999,999999,0,S_Fatty_Acid__Biosynthesis
FA120ACPtm,Fatty acyl ACP mitochondrial transport,ddcaACP_m  -> ddcaACP_c ,,0,999999,0,S_Transport__Mitochondrial
ACACT5p,Acetyl CoA C acyltransferase  decanoyl CoA   peroxisomal,3oddcoa_x + coa_x  -> accoa_x + dcacoa_x ,YIL160C,0,999999,0,S_Fatty_Acid_Degradation
FA120tp,Fatty acid peroxisomal transport,ddca_c  -> ddca_x ,,0,999999,0,S_Transport__Peroxisomal
FA140ACPHi,Fatty-acyl-ACP hydrolase,h2o_c + myrsACP_c  <=> ACP_c + h_c + ttdca_c ,YKL182W and YPL231W,-999999,999999,0,S_Fatty_Acid__Biosynthesis
FACOAL180,Fatty acid  CoA ligase  octadecanoate ,atp_c + coa_c + ocdca_c  <=> amp_c + ppi_c + stcoa_c ,YOR317W or YIL009W or YMR246W,-999999,999999,0,S_Fatty_Acid__Biosynthesis
FACOAL181,Fatty acid  CoA ligase  octadecenoate ,atp_c + coa_c + ocdcea_c  <=> amp_c + ppi_c + odecoa_c ,YOR317W or YIL009W or YMR246W,-999999,999999,0,S_Fatty_Acid__Biosynthesis
FACOAL182,Fatty acid  CoA ligase  octadecynoate ,atp_c + coa_c + ocdcya_c  <=> amp_c + ppi_c + ocdycacoa_c ,YOR317W or YMR246W or YIL009W,-999999,999999,0,S_Fatty_Acid__Biosynthesis
FA140ACPtm,Fatty acyl ACP mitochondrial transport,myrsACP_m  -> myrsACP_c ,,0,999999,0,S_Transport__Mitochondrial
FACOAL240p,Fatty acid  CoA ligase  n C240   peroxisomal,atp_x + coa_x + ttc_x  <=> amp_x + ppi_x + ttccoa_x ,YBR041W,-999999,999999,0,S_Fatty_Acid__Biosynthesis
FA140COAabcp,Fatty acid peroxisomal transport via ABC system,atp_x + h2o_x + tdcoa_c  -> adp_x + h_x + pi_x + tdcoa_x ,YPL147W and YKL188C,0,999999,0,S_Transport__Peroxisomal
FA140tp,Fatty acid peroxisomal transport,ttdca_c  -> ttdca_x ,,0,999999,0,S_Transport__Peroxisomal
FA141ACPHi,Fatty-acyl-ACP hydrolase,h2o_c + tdeACP_c  <=> ACP_c + h_c + ttdcea_c ,YKL182W and YPL231W,-999999,999999,0,S_Fatty_Acid__Biosynthesis
FA141ACPtm,Fatty acyl ACP mitochondrial transport,tdeACP_m  -> tdeACP_c ,,0,999999,0,S_Transport__Mitochondrial
FACOAL260p,Fatty acid  CoA ligase  n C260   peroxisomal,atp_x + coa_x + hexc_x  <=> amp_x + hexccoa_x + ppi_x ,YBR041W,-999999,999999,0,S_Fatty_Acid__Biosynthesis
FACOAL80p,Fatty acid  CoA ligase  octanoate   peroxisomal,atp_x + coa_x + octa_x  <=> amp_x + occoa_x + ppi_x ,YER015W,-999999,999999,0,S_Fatty_Acid__Biosynthesis
FADFMNtm,FADFMN antiport,fad_c + fmn_m  -> fad_m + fmn_c ,YIL134W,0,999999,0,S_Transport__Mitochondrial
FALDH,Formaldehyde dehydrogenase,fald_c + gthrd_c + nad_c  <=> Sfglutth_c + h_c + nadh_c ,YDL168W,-999999,999999,0,S_Pyruvate_Metabolism
FA141COAabcp,Fatty acid peroxisomal transport via ABC system,atp_x + h2o_x + tdecoa_c  -> adp_x + h_x + pi_x + tdecoa_x ,YPL147W and YKL188C,0,999999,0,S_Transport__Peroxisomal
FAS161ACPm,Fatty acyl ACP synthase  n C161ACP   mitochondrial,4 h_m + malACP_m + myrsACP_m + o2_m + 3 nadph_m  -> ACP_m + co2_m + 3 h2o_m + hdeACP_m + 3 nadp_m ,YKL192C and YER061C and YHR067W and YOR221C and YBR026C and YKL055C,0,999999,0,S_Fatty_Acid__Biosynthesis
FA141tp,Fatty acid peroxisomal transport,ttdcea_c  -> ttdcea_x ,,0,999999,0,S_Transport__Peroxisomal
FA160ACPHi,Fatty-acyl-ACP hydrolase,h2o_c + palmACP_c  <=> ACP_c + h_c + hdca_c ,YKL182W and YPL231W,-999999,999999,0,S_Fatty_Acid__Biosynthesis
FA160ACPtm,Fatty acyl ACP mitochondrial transport,palmACP_m  -> palmACP_c ,,0,999999,0,S_Transport__Mitochondrial
FA160COAabcp,Fatty acyl CoA peroxisomal transport via ABC system,atp_x + h2o_x + pmtcoa_c  -> adp_x + h_x + pi_x + pmtcoa_x ,YPL147W and YKL188C,0,999999,0,S_Transport__Peroxisomal
FAO141p_even,Fatty acid oxidation,6 coa_x + 6 h2o_x + 6 o2_x + 6 nad_x + nadph_x + tdecoa_x  -> 7 accoa_x + 6 h2o2_x + 5 h_x + 6 nadh_x + nadp_x ,( YLR284C and YKR009C and YIL160C and YGL205W and YNL202W ) or ( YOR180C and YKR009C and YIL160C and YGL205W and YNL202W ) or ( YOR180C and YLR284C and YKR009C and YIL160C and YGL205W and YNL202W ),0,999999,0,S_Fatty_Acid_Degradation
FAO141p_odd,Fatty acid oxidation,6 coa_x + 6 h2o_x + 5 o2_x + 6 nad_x + tdecoa_x  -> 7 accoa_x + 5 h2o2_x + 6 h_x + 6 nadh_x ,( YLR284C and YKR009C and YIL160C and YGL205W ) or ( YOR180C and YKR009C and YIL160C and YGL205W ),0,999999,0,S_Fatty_Acid_Degradation
FAO161p_even,Fatty acid oxidation,7 coa_x + 7 h2o_x + hdcoa_x + 7 o2_x + 7 nad_x + nadph_x  -> 8 accoa_x + 7 h2o2_x + 6 h_x + 7 nadh_x + nadp_x ,( YLR284C and YKR009C and YIL160C and YGL205W and YNL202W ) or ( YOR180C and YKR009C and YIL160C and YGL205W and YNL202W ) or ( YOR180C and YLR284C and YKR009C and YIL160C and YGL205W and YNL202W ),0,999999,0,S_Fatty_Acid_Degradation
FAO161p_odd,Fatty acid oxidation,7 coa_x + 7 h2o_x + hdcoa_x + 6 o2_x + 7 nad_x  -> 8 accoa_x + 6 h2o2_x + 7 h_x + 7 nadh_x ,( YLR284C and YKR009C and YIL160C and YGL205W ) or ( YOR180C and YKR009C and YIL160C and YGL205W ),0,999999,0,S_Fatty_Acid_Degradation
FAO181p_even,Fatty acid oxidation,8 coa_x + 8 h2o_x + 8 o2_x + 8 nad_x + nadph_x + odecoa_x  -> 9 accoa_x + 8 h2o2_x + 7 h_x + 8 nadh_x + nadp_x ,( YLR284C and YKR009C and YIL160C and YGL205W and YNL202W ) or ( YOR180C and YKR009C and YIL160C and YGL205W and YNL202W ) or ( YOR180C and YLR284C and YKR009C and YIL160C and YGL205W and YNL202W ),0,999999,0,S_Fatty_Acid_Degradation
FA160tp,Fatty acid peroxisomal transport,hdca_c  -> hdca_x ,,0,999999,0,S_Transport__Peroxisomal
FA161ACPHi,Fatty-acyl-ACP hydrolase,h2o_c + hdeACP_c  <=> ACP_c + h_c + hdcea_c ,YKL182W and YPL231W,-999999,999999,0,S_Fatty_Acid__Biosynthesis
FA161ACPtm,Fatty acyl ACP mitochondrial transport,hdeACP_m  -> hdeACP_c ,,0,999999,0,S_Transport__Mitochondrial
FAO181p_odd,Fatty acid oxidation,8 coa_x + 8 h2o_x + 7 o2_x + 8 nad_x + odecoa_x  -> 9 accoa_x + 7 h2o2_x + 8 h_x + 8 nadh_x ,( YLR284C and YKR009C and YIL160C and YGL205W ) or ( YOR180C and YKR009C and YIL160C and YGL205W ),0,999999,0,S_Fatty_Acid_Degradation
FAS180,Fatty acid synthase  n C180 ,3 h_c + malcoa_c + hdca_c + 2 nadph_c  -> co2_c + coa_c + h2o_c + ocdca_c + 2 nadp_c ,YGR037C and YNR016C and ( YKL182W and YPL231W ),0,999999,0,S_Fatty_Acid__Biosynthesis
FAO182p_eveneven,Fatty acid oxidation,8 coa_x + 8 h2o_x + 8 o2_x + 8 nad_x + ocdycacoa_x + 2 nadph_x  -> 9 accoa_x + 8 h2o2_x + 6 h_x + 8 nadh_x + 2 nadp_x ,( YOR180C and YKR009C and YIL160C and YGL205W and YNL202W ) or ( YLR284C and YKR009C and YIL160C and YGL205W and YNL202W ) or ( YOR180C and YLR284C and YKR009C and YIL160C and YGL205W and YNL202W ),0,999999,0,S_Fatty_Acid_Degradation
FAO182p_evenodd,Fatty acid oxidation,8 coa_x + 8 h2o_x + 7 o2_x + 8 nad_x + ocdycacoa_x + nadph_x  -> 9 accoa_x + 7 h2o2_x + 7 h_x + 8 nadh_x + nadp_x ,( YLR284C and YKR009C and YIL160C and YGL205W and YNL202W ) or ( YOR180C and YKR009C and YIL160C and YGL205W and YNL202W ),0,999999,0,S_Fatty_Acid_Degradation
FAO182p_oddodd,Fatty acid oxidation,8 coa_x + 8 h2o_x + 6 o2_x + 8 nad_x + ocdycacoa_x  -> 9 accoa_x + 6 h2o2_x + 8 h_x + 8 nadh_x ,( YLR284C and YKR009C and YIL160C and YGL205W ) or ( YOR180C and YKR009C and YIL160C and YGL205W ),0,999999,0,S_Fatty_Acid_Degradation
FAO240p,Fatty acid oxidation  tetradecansoyl CoA   peroxisomal,3 coa_x + 3 h2o_x + 3 o2_x + 3 nad_x + ttccoa_x  -> 3 accoa_x + 3 h2o2_x + 3 h_x + 3 nadh_x + stcoa_x ,YKR009C and YIL160C and YGL205W,0,999999,0,S_Fatty_Acid_Degradation
FAO80p,Fatty acid oxidation  octanoyl CoA   peroxisomal,3 coa_x + 3 h2o_x + 3 o2_x + 3 nad_x + occoa_x  -> 4 accoa_x + 3 h2o2_x + 3 h_x + 3 nadh_x ,YKR009C and YIL160C and YGL205W,0,999999,0,S_Fatty_Acid_Degradation
FAS100,Fatty acid synthase  n C100 ,3 h_c + malcoa_c + 2 nadph_c + octa_c  -> co2_c + coa_c + dca_c + h2o_c + 2 nadp_c ,YGR037C and YNR016C and ( YKL182W and YPL231W ),0,999999,0,S_Fatty_Acid__Biosynthesis
FA161COAabcp,Fatty acyl CoA peroxisomal transport via ABC system,atp_x + h2o_x + hdcoa_c  -> adp_x + h_x + hdcoa_x + pi_x ,YPL147W and YKL188C,0,999999,0,S_Transport__Peroxisomal
FA161tp,Fatty acid peroxisomal transport,hdcea_c  -> hdcea_x ,,0,999999,0,S_Transport__Peroxisomal
FA180ACPH,Fatty acyl ACP hydrolase,h2o_c + ocdcaACP_c  <=> ACP_c + h_c + ocdca_c ,YKL182W and YPL231W,-999999,999999,0,S_Fatty_Acid__Biosynthesis
FA180ACPtm,Fatty acyl ACP mitochondrial transport,ocdcaACP_m  -> ocdcaACP_c ,,0,999999,0,S_Transport__Mitochondrial
FA180COAabcp,Fatty acyl CoA transport via ABC system,atp_x + h2o_x + stcoa_c  -> adp_x + h_x + pi_x + stcoa_x ,YPL147W and YKL188C,0,999999,0,S_Transport__Peroxisomal
FA181ACPH,Fatty acyl ACP hydrolase,h2o_c + octeACP_c  <=> ACP_c + h_c + ocdcea_c ,YKL182W and YPL231W,-999999,999999,0,S_Fatty_Acid__Biosynthesis
FA181ACPtm,Fatty acyl ACP mitochondrial transport,octeACP_m  -> octeACP_c ,,0,999999,0,S_Transport__Mitochondrial
FA181COAabcp,Fatty acyl CoA peroxisomal transport via ABC system,atp_x + h2o_x + odecoa_c  -> adp_x + h_x + pi_x + odecoa_x ,YPL147W and YKL188C,0,999999,0,S_Transport__Peroxisomal
FA182ACPH,Fatty acyl ACP hydrolase,h2o_c + ocdcyaACP_c  <=> ACP_c + h_c + ocdcya_c ,YKL182W and YPL231W,-999999,999999,0,S_Fatty_Acid__Biosynthesis
FA182ACPtm,Fatty acyl ACP mitochondrial transport,ocdcyaACP_m  -> ocdcyaACP_c ,,0,999999,0,S_Transport__Mitochondrial
FA182COAabcp,Fatty acyl CoA peroxisomal transport via ABC system,atp_x + h2o_x + ocdycacoa_c  -> adp_x + h_x + pi_x + ocdycacoa_x ,YPL147W and YKL188C,0,999999,0,S_Transport__Peroxisomal
FA240tp,Fatty acid peroxisomal transport,ttc_c  -> ttc_x ,YBR041W,0,999999,0,S_Transport__Peroxisomal
FAS100ACPm,Fatty acyl ACP synthase  n C100ACP   mitochondrial,3 h_m + malACP_m + ocACP_m + 2 nadph_m  -> ACP_m + co2_m + dcaACP_m + h2o_m + 2 nadp_m ,YKL192C and YER061C and YHR067W and YOR221C and YBR026C and YKL055C,0,999999,0,S_Fatty_Acid__Biosynthesis
FAS100COA,Fatty acyl CoA synthase  n C100CoA ,3 h_c + malcoa_c + occoa_c + 2 nadph_c  -> dcacoa_c + co2_c + coa_c + h2o_c + 2 nadp_c ,YGR037C and YNR016C and ( YKL182W and YPL231W ),0,999999,0,S_Fatty_Acid__Biosynthesis
FAS120,Fatty acid synthase  n C120 ,dca_c + 3 h_c + malcoa_c + 2 nadph_c  -> ddca_c + co2_c + coa_c + h2o_c + 2 nadp_c ,YGR037C and YNR016C and ( YKL182W and YPL231W ),0,999999,0,S_Fatty_Acid__Biosynthesis
FAS120ACPm,Fatty acyl ACP synthase  n C120ACP   mitochondrial,dcaACP_m + 3 h_m + malACP_m + 2 nadph_m  -> ACP_m + ddcaACP_m + co2_m + h2o_m + 2 nadp_m ,YKL192C and YER061C and YHR067W and YOR221C and YBR026C and YKL055C,0,999999,0,S_Fatty_Acid__Biosynthesis
FAS120COA,Fatty acyl CoA synthase  n C120CoA ,dcacoa_c + 3 h_c + malcoa_c + 2 nadph_c  -> ddcacoa_c + co2_c + coa_c + h2o_c + 2 nadp_c ,YGR037C and YNR016C and ( YKL182W and YPL231W ),0,999999,0,S_Fatty_Acid__Biosynthesis
FAS140,Fatty acid synthase  n C140 ,ddca_c + 3 h_c + malcoa_c + 2 nadph_c  -> co2_c + coa_c + h2o_c + 2 nadp_c + ttdca_c ,YGR037C and YNR016C and ( YKL182W and YPL231W ),0,999999,0,S_Fatty_Acid__Biosynthesis
FAS140ACPm,Fatty acyl ACP synthase  n C140ACP   mitochondrial,ddcaACP_m + 3 h_m + malACP_m + 2 nadph_m  -> ACP_m + co2_m + h2o_m + myrsACP_m + 2 nadp_m ,YKL192C and YER061C and YHR067W and YOR221C and YBR026C and YKL055C,0,999999,0,S_Fatty_Acid__Biosynthesis
FAS140COA,Fatty acyl CoA synthase  n C140CoA ,ddcacoa_c + 3 h_c + malcoa_c + 2 nadph_c  -> co2_c + coa_c + h2o_c + 2 nadp_c + tdcoa_c ,YGR037C and YNR016C and ( YKL182W and YPL231W ),0,999999,0,S_Fatty_Acid__Biosynthesis
FAS141,Fatty acid synthase  n C141 ,ddca_c + 4 h_c + malcoa_c + 3 nadph_c + o2_c  -> co2_c + coa_c + 3 h2o_c + 3 nadp_c + ttdcea_c ,YJL196C,0,999999,0,S_Fatty_Acid__Biosynthesis
FA260tp,Fatty acid peroxisomal transport,hexc_c  -> hexc_x ,YBR041W,0,999999,0,S_Transport__Peroxisomal
FA80tp,Fatty acid peroxisomal transport,octa_c  -> octa_x ,,0,999999,0,S_Transport__Peroxisomal
FACOAL100p,Fatty acid  CoA ligase  decanoate   peroxisomal,atp_x + dca_x + coa_x  <=> amp_x + dcacoa_x + ppi_x ,YER015W,-999999,999999,0,S_Fatty_Acid__Biosynthesis
FAS141ACPm,Fatty acyl ACP synthase  n C141ACP   mitochondrial,ddcaACP_m + 4 h_m + malACP_m + o2_m + 3 nadph_m  -> ACP_m + co2_m + 3 h2o_m + 3 nadp_m + tdeACP_m ,YKL192C and YER061C and YHR067W and YOR221C and YBR026C and YKL055C,0,999999,0,S_Fatty_Acid__Biosynthesis
